date_recommended,stock,direction,entry_price,stop_loss,target_price,risk_reward_ratio,recommending_agents,regime_at_entry,conviction_confidence,date_closed,exit_price,pnl_pct,exit_reason
2026-02-24,ADANIENT,LONG,2180.82,2098.38,2324.04,1.67,"ORION,VESPER,KAIRO,SENTINEL,NEXUS,PRUDENCE,CATALYST,OPTIMUS",BULL,58,2026-03-02,2111.5,-3.78,STOP_HIT
2026-02-24,ADANIPORTS,LONG,1553.84,1502.01,1644.38,1.67,"ORION,VESPER,KAIRO,SENTINEL,NEXUS,PRUDENCE,CATALYST,OPTIMUS",BULL,58,2026-03-02,1475.3,-3.34,STOP_HIT
2026-02-24,AXISBANK,LONG,1386.21,1352.46,1446.17,1.67,"ORION,VESPER,KAIRO,SENTINEL,NEXUS,PRUDENCE,CATALYST,OPTIMUS",BULL,58,2026-03-04,1352.46,-2.43,
2026-02-24,BAJAJ-AUTO,LONG,9819.17,9557.66,10281.23,1.67,"ORION,VESPER,KAIRO,SENTINEL,NEXUS,PRUDENCE,CATALYST,OPTIMUS",BULL,58,2026-03-24,9557.66,-2.66,
2026-02-24,BAJAJFINSV,LONG,2041.26,2001.09,2113.66,1.67,"ORION,VESPER,KAIRO,SENTINEL,NEXUS,PRUDENCE,CATALYST,OPTIMUS",BULL,58,2026-02-27,2001.09,-1.97,
2026-02-24,BPCL,LONG,374.08,361.07,396.74,1.67,"ORION,VESPER,KAIRO,SENTINEL,NEXUS,PRUDENCE,CATALYST,OPTIMUS",BULL,58,2026-03-04,361.07,-3.48,
2026-02-25,BPCL,LONG,379.22,373.46,396.6,2.77,"ORION,VESPER,KAIRO,SENTINEL,NEXUS,PRUDENCE,CATALYST,OPTIMUS",BULL,69,2026-03-02,375.8,-1.52,STOP_HIT
2026-02-25,ADANIENT,LONG,2188.71,2152.34,2300,2.83,"ORION,VESPER,KAIRO,SENTINEL,NEXUS,PRUDENCE,CATALYST,OPTIMUS",BULL,64,2026-03-02,2111.5,-1.66,STOP_HIT
2026-02-25,BAJFINANCE,LONG,1027.77,995.93,1100,2.17,"ORION,VESPER,KAIRO,SENTINEL,NEXUS,PRUDENCE,CATALYST,OPTIMUS",BULL,66,2026-02-27,995.93,-3.1,
2026-02-25,ADANIPORTS,LONG,1564.23,1508.96,1640.88,1.32,"ORION,VESPER,KAIRO,SENTINEL,NEXUS,PRUDENCE,CATALYST,OPTIMUS",BULL,71,2026-03-02,1475.3,-3.53,STOP_HIT
2026-02-25,BAJAJ-AUTO,LONG,10071.42,9657.15,10547.93,1.1,"ORION,VESPER,KAIRO,SENTINEL,NEXUS,PRUDENCE,CATALYST,OPTIMUS",BULL,71,2026-03-04,9657.15,-4.11,
2026-02-25,BAJAJFINSV,LONG,2065.63,2003.86,2139.77,1.13,"ORION,VESPER,KAIRO,SENTINEL,NEXUS,PRUDENCE,CATALYST,OPTIMUS",BULL,69,2026-02-27,2003.86,-2.99,
2026-02-25,GRASIM,LONG,2870.23,2852.69,3000,6.22,"ORION,VESPER,KAIRO,SENTINEL,NEXUS,PRUDENCE,CATALYST,OPTIMUS",BULL,73,2026-02-27,2852.69,-0.61,
2026-02-25,COALINDIA,LONG,434.17,424.92,450,1.59,"ORION,VESPER,KAIRO,SENTINEL,NEXUS,PRUDENCE,CATALYST,OPTIMUS",BULL,72,2026-03-02,424.7,-2.13,STOP_HIT
2026-02-25,BRITANNIA,LONG,6140.85,5945.6,6450,1.5,"ORION,VESPER,KAIRO,SENTINEL,NEXUS,PRUDENCE,CATALYST,OPTIMUS",BULL,67,2026-03-02,5991.5,-3.18,STOP_HIT
2026-02-26,DRREDDY,LONG,1317.98,1281.96,1400,2.16,"ORION,VESPER,KAIRO,SENTINEL,NEXUS,PRUDENCE,CATALYST,OPTIMUS",MILD_BEAR,57,2026-02-27,1286.3,-2.73,STOP_HIT
2026-02-26,BRITANNIA,LONG,6130.86,5980.99,6450,2.01,"ORION,VESPER,KAIRO,SENTINEL,NEXUS,PRUDENCE,CATALYST,OPTIMUS",MILD_BEAR,59,2026-02-27,6002.5,-2.44,STOP_HIT
2026-02-26,APOLLOHOSP,LONG,7767.23,7585.41,8150,1.98,"ORION,VESPER,KAIRO,SENTINEL,NEXUS,PRUDENCE,CATALYST,OPTIMUS",MILD_BEAR,57,2026-03-04,7585.41,-2.34,
2026-02-26,COALINDIA,LONG,433.07,423.71,450,1.69,"ORION,VESPER,KAIRO,SENTINEL,NEXUS,PRUDENCE,CATALYST,OPTIMUS",MILD_BEAR,59,2026-03-02,424.7,-2.16,STOP_HIT
2026-02-27,BPCL,LONG,383.03,374.72,388.15,0.1,"ORION,VESPER,KAIRO,SENTINEL,NEXUS,PRUDENCE,CATALYST,OPTIMUS",MILD_BEAR,55,2026-02-27,388.15,1.34,
2026-02-27,DRREDDY,LONG,1281.52,1263.77,1350,3.53,"ORION,VESPER,KAIRO,SENTINEL,NEXUS,PRUDENCE,CATALYST,OPTIMUS",CONSOLIDATION,55,2026-03-02,1282.9,-1.39,STOP_HIT
2026-02-27,AXISBANK,LONG,1382.52,1351.73,1450,2.05,"ORION,VESPER,KAIRO,SENTINEL,NEXUS,PRUDENCE,CATALYST,OPTIMUS",CONSOLIDATION,55,2026-03-04,1351.73,-2.23,
