2026-04-18 13:55:00 | ERROR    | LLMMetaLearner | LLM generation failed: OpenRouter API error 400: {"error":{"message":"Provider returned error","code":400,"metadata":{"raw":"{\n  \"error\": {\n    \"code\": 400,\n    \"message\": \"JSON mode is not enabled for models/gemma-3-4b-it\",\n    \"status\": \"INVALID_ARGUMENT\"\n  }\n}\n","provider_name":"Google AI Studio","is_byok":false}},"user_id":"user_3CDtpsygcMZjyJmuAlF3IZO2RGp"}
2026-04-18 13:56:03 | ERROR    | LLMNewsImpactAnalyzer | LLM generation failed: OpenRouter API error 400: {"error":{"message":"Provider returned error","code":400,"metadata":{"raw":"{\n  \"error\": {\n    \"code\": 400,\n    \"message\": \"JSON mode is not enabled for models/gemma-3-27b-it\",\n    \"status\": \"INVALID_ARGUMENT\"\n  }\n}\n","provider_name":"Google AI Studio","is_byok":false}},"user_id":"user_3CDtpsygcMZjyJmuAlF3IZO2RGp"}
2026-04-18 13:57:34 | ERROR    | rox.news | Failed to parse Gemini response: Expecting value: line 54 column 21 (char 2307)
2026-04-18 14:08:50 | ERROR    | rox.news | Gemini analysis failed (chunk 1): OpenRouter error 429: {"error":{"message":"Provider returned error","code":429,"metadata":{"raw":"google/gemma-4-31b-it:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations","provider_name":"Google AI Studio","is_b
2026-04-18 14:08:51 | ERROR    | rox.news | Gemini analysis failed (chunk 2): OpenRouter error 429: {"error":{"message":"Provider returned error","code":429,"metadata":{"raw":"google/gemma-4-31b-it:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations","provider_name":"Google AI Studio","is_b
2026-04-18 14:08:52 | ERROR    | rox.news | Gemini analysis failed (chunk 3): OpenRouter error 429: {"error":{"message":"Provider returned error","code":429,"metadata":{"raw":"google/gemma-4-31b-it:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations","provider_name":"Google AI Studio","is_b
2026-04-18 14:08:53 | ERROR    | LLMRegimeDetector | LLM generation failed: OpenRouter API error 429: {"error":{"message":"Provider returned error","code":429,"metadata":{"raw":"google/gemma-4-31b-it:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations","provider_name":"Google AI Studio","is_byok":false}},"user_id":"user_3CDtpsygcMZjyJmuAlF3IZO2RGp"}
2026-04-18 14:08:53 | ERROR    | LLMNewsImpactAnalyzer | LLM generation failed: OpenRouter API error 429: {"error":{"message":"Provider returned error","code":429,"metadata":{"raw":"google/gemma-4-31b-it:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations","provider_name":"Google AI Studio","is_byok":false}},"user_id":"user_3CDtpsygcMZjyJmuAlF3IZO2RGp"}
2026-04-18 14:08:54 | ERROR    | LLMCrossExaminer | LLM generation failed: OpenRouter API error 429: {"error":{"message":"Provider returned error","code":429,"metadata":{"raw":"google/gemma-4-31b-it:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations","provider_name":"Google AI Studio","is_byok":false}},"user_id":"user_3CDtpsygcMZjyJmuAlF3IZO2RGp"}
2026-04-18 14:08:55 | ERROR    | LLMTradingPlanner | LLM generation failed: OpenRouter API error 429: {"error":{"message":"Provider returned error","code":429,"metadata":{"raw":"google/gemma-4-31b-it:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations","provider_name":"Google AI Studio","is_byok":false}},"user_id":"user_3CDtpsygcMZjyJmuAlF3IZO2RGp"}
2026-04-18 14:19:32 | ERROR    | rox.news | Failed to parse Gemini response: Expecting value: line 1 column 1 (char 0)
2026-04-18 14:19:32 | ERROR    | rox.news | Failed to parse Gemini response: Expecting value: line 1 column 1 (char 0)
2026-04-18 14:19:32 | ERROR    | rox.news | Failed to parse Gemini response: Expecting value: line 1 column 1 (char 0)
2026-04-18 17:45:43 | ERROR    | LLMMetaLearner | LLM generation failed: OpenRouter API error 405: {"error":{"message":"Provider returned error","code":405,"metadata":{"raw":"{\"detail\":\"json_object response format is not supported for model: stepfun-ai/Step-3.5-Flash\"}","provider_name":"DeepInfra","is_byok":false}},"user_id":"user_3CDtpsygcMZjyJmuAlF3IZO2RGp"}
2026-04-18 17:46:50 | ERROR    | LLMNewsImpactAnalyzer | LLM generation failed: OpenRouter API error 405: {"error":{"message":"Provider returned error","code":405,"metadata":{"raw":"{\"detail\":\"json_object response format is not supported for model: stepfun-ai/Step-3.5-Flash\"}","provider_name":"DeepInfra","is_byok":false}},"user_id":"user_3CDtpsygcMZjyJmuAlF3IZO2RGp"}
2026-04-18 17:46:50 | ERROR    | LLMRegimeDetector | LLM generation failed: OpenRouter API error 405: {"error":{"message":"Provider returned error","code":405,"metadata":{"raw":"{\"detail\":\"json_object response format is not supported for model: stepfun-ai/Step-3.5-Flash\"}","provider_name":"DeepInfra","is_byok":false}},"user_id":"user_3CDtpsygcMZjyJmuAlF3IZO2RGp"}
2026-04-18 17:46:51 | ERROR    | LLMCrossExaminer | LLM generation failed: OpenRouter API error 405: {"error":{"message":"Provider returned error","code":405,"metadata":{"raw":"{\"detail\":\"json_object response format is not supported for model: stepfun-ai/Step-3.5-Flash\"}","provider_name":"DeepInfra","is_byok":false}},"user_id":"user_3CDtpsygcMZjyJmuAlF3IZO2RGp"}
2026-04-18 17:46:52 | ERROR    | LLMTradingPlanner | LLM generation failed: OpenRouter API error 405: {"error":{"message":"Provider returned error","code":405,"metadata":{"raw":"{\"detail\":\"json_object response format is not supported for model: stepfun-ai/Step-3.5-Flash\"}","provider_name":"DeepInfra","is_byok":false}},"user_id":"user_3CDtpsygcMZjyJmuAlF3IZO2RGp"}
